Question;nbreRep;A;B;C;D;Justification;Theme;Formation;id
Which level of logging is required to store log on Audit ?;1;Trace;Standard;Interaction;Debug;;07 - Management Layer;Framework 8.5 Routing & Reporting;64
What is the name of the option to start a third party application ?;1;start_command;start;start_cmd;cmd;;07 - Management Layer;Framework 8.5 Routing & Reporting;65
Which value send log event to Message Server ?;1;network;stdout;memory;;;07 - Management Layer;Framework 8.5 Routing & Reporting;66
"Set ""network"" on the Trace option of the log section will only send trace events";1;False;True;;;;07 - Management Layer;Framework 8.5 Routing & Reporting;67
Which section in the SIP Server allow to open the SIP port ?;1;[Tserver];[SIPServer];[Port];[SIP-Port];;08 - Media Layer;Framework 8.5 Routing & Reporting;68
If the T/SIP Server doesn't start, what should we check first ?;1;License Manager;CTI-Link;Switch Object;The number of availailable seat licenses;;08 - Media Layer;Framework 8.5 Routing & Reporting;69
Which option is realy usefull to indicates the number of licenses to the T-Server ?;1;num-sdn-licenses;num-of-licenses;licenses-number;licenses-sdn-number;;08 - Media Layer;Framework 8.5 Routing & Reporting;70
Which option in the SIP Server allow to open the SIP port ?;1;sip-port;tserv-port;port;output-port;;08 - Media Layer;Framework 8.5 Routing & Reporting;71
Which section indicates the location of FlexLM ?;1;[license];[license-file];[flexlm];[licence-manager];;08 - Media Layer;Framework 8.5 Routing & Reporting;72
Which option indicates the location of FlexLM ?;1;license-file;license;flexlm;license-manager;;08 - Media Layer;Framework 8.5 Routing & Reporting;73
Which section allow to indicate where is the log file of WDE ?;1;[interaction-workspace];[log];[logging];[workspace-log];;09 - WDE;Framework 8.5 Routing & Reporting;74
Which option allow to define a default place in the Default Place field of WDE ?;1;login.default-place;default.place-login;default.login-place;;;09 - WDE;Framework 8.5 Routing & Reporting;75
The softphone is connected to the PABX;1;True;False;;;;09 - WDE;Framework 8.5 Routing & Reporting;76
Which option allow to enable/disable the roles in WDE ?;1;security.disable-rbac;security.enable-rbac;enable.rbac-security;disable.rbac-security;;09 - WDE;Framework 8.5 Routing & Reporting;77
The Workspace Desktop is connected to the PABX ?;1;False;True;;;;09 - WDE;Framework 8.5 Routing & Reporting;78
Which option tells to the Stat Server when to stop calcule a statitics if not asked ?;1;old-stat-remove-interval;old-stat-removal-interval;stop-stat-remove-interval;stop-stat-removal-interval;;10 - Services Layer;Framework 8.5 Routing & Reporting;79
Who are Stat Server Clients ?;3;CCPulse;Pulse Collector;URS;Pulse;;10 - Services Layer;Framework 8.5 Routing & Reporting;80
Which fonctionality applies to the Stat Server as a Server ?;1;Routing and reporting rely on the Stat Server;Receives events from Media Servers;Uses these events to generate reports and statistics;Receive dynamic updates from Config Server ;;10 - Services Layer;Framework 8.5 Routing & Reporting;81
Which time profil can calculate statistics on 10 last minutes ?;1;Sliding;SinceLogin;Gowing;Selection;;10 - Services Layer;Framework 8.5 Routing & Reporting;82
Which time profil can calculate statistics from 8h00 to 9h00 with a reset ?;1;Gowing;Sliding;SinceLogin;Selection;;10 - Services Layer;Framework 8.5 Routing & Reporting;83
Which fonctionality applies to the Stat Server as a client ?;3;Receives events from Media Servers;Uses these events to generate reports and statistics;Receive dynamic updates from Config Server ;Routing and reporting rely on the Stat Server;;10 - Services Layer;Framework 8.5 Routing & Reporting;84
In a solution, if a optional application stop what's happen ?;1;An alarm is raised and the solution is shown in green;An alarm is raised and the solution is shown in red;No alarm is raised and the solution is shown in red;No alarm is raised and the solution is shown in green;;11 - Routing;Framework 8.5 Routing & Reporting;85
Which option(s) exists ?;3;debug-enable;debug-port;max-debug-session;debug-max-session;;11 - Routing;Framework 8.5 Routing & Reporting;86
What are the conditions for an ORS to belong to a cluster ?;3;Each ORS must be connected to the same T-Server;Each ORS must be connected to the same Cassandra DB;Each ORS must have only one URS in its Connection List;Each ORS must be on the same host;;11 - Routing;Framework 8.5 Routing & Reporting;87
Transition time overcome the delay between :;2;EventRouteUsed;EventEtablished;EventRouteRequest;EventRemoteConnectionSuccess;;11 - Routing;Framework 8.5 Routing & Reporting;88
URS registers for :;1;Routing Points;Extensions;ACD Queues;External RP;;11 - Routing;Framework 8.5 Routing & Reporting;89
ORS registers for :;3;Routing Points;Extensions;ACD Queues;External RP;;11 - Routing;Framework 8.5 Routing & Reporting;90
Stat Server registers for :;2;Routing Points;Extensions;ACD Queues;External RP;;11 - Routing;Framework 8.5 Routing & Reporting;91
Which option allow to hide some sensitive datas;1;ors-regex-<name>;ors-exclude-<name>;ors-hide-<name>;ors-excl-<name>;;11 - Routing;Framework 8.5 Routing & Reporting;92
What is the order where URS check default route ?;1;Routing Point > T-Server > Tenant > URS;Routing Point > Tenant > T-Server > URS;URS > Tenant > T-Server > Routing Point;Tenant > T-Server > Routing Point > URS;;11 - Routing;Framework 8.5 Routing & Reporting;93
ISCC registers for :;1;External RP;Routing Points;Extensions;ACD Queues;;11 - Routing;Framework 8.5 Routing & Reporting;94
Which option force URS to register on extensions to recieve same informations as ORS ?;1;event_arrive;strategy;use_ors_info;register_extensions;;11 - Routing;Framework 8.5 Routing & Reporting;95
ElasticSearch is mandatory for ORS to store data;1;False;True;;;;11 - Routing;Framework 8.5 Routing & Reporting;96
What is the order of start for routing layer component ?;1;T-Server > Stat Server > URS > ORS;T-Server > Stat Server > ORS > URS;Stat Server > T-Server > URS > ORS;Stat Server > T-Server > ORS > URS;;11 - Routing;Framework 8.5 Routing & Reporting;97
What is the prefix for URS statistics ?;1;R;URS;U;S;;11 - Routing;Framework 8.5 Routing & Reporting;98
Which application is responsible for fetching SCXML ?;1;ORS;URS;SIP Server ;Web Application Server;;11 - Routing;Framework 8.5 Routing & Reporting;99
To route some voice calls you need :;1;Composer Route;Composer Voice;;;;12 - Composer;Framework 8.5 Routing & Reporting;100
Tomcat can be used for .NET projects;1;False;True;;;;12 - Composer;Framework 8.5 Routing & Reporting;101
In Composer, the debug is performed with :;1;ORS;URS;Stat Server;WAS;;12 - Composer;Framework 8.5 Routing & Reporting;102
Which option allow to edit templates provided by Genesys ?;1;Editable_templates;Edit_Templates;Change_Templates;;;13 - Pulse;Framework 8.5 Routing & Reporting;103
Which option allow to setup templates ?;1;Install_Templates;Setup_Templates;Set_Templates;;;13 - Pulse;Framework 8.5 Routing & Reporting;104
Which file provides stats types ?;1;Statprofil.cfg;Statprofil.xml;Statprofil.tlp;Statprofil.txt;;13 - Pulse;Framework 8.5 Routing & Reporting;105
What is stored in the Pulse DB ?;2;Metrics;Stats definition;Pulse Templates;Stats;;13 - Pulse;Framework 8.5 Routing & Reporting;106
What is the extension of a binary model file of a CCPulse+ tempaltes;1;.btpl;.bthr;.bact;.stg;;14 - CCPulse;Framework 8.5 Routing & Reporting;107
What is the extension of a binary threashold file of a CCPulse+ tempaltes;1;.bthr;.btpl;.bact;.stg;;14 - CCPulse;Framework 8.5 Routing & Reporting;108
What is the extension of a binary action file of a CCPulse+ tempaltes;1;.bact;.btpl;.bthr;.stg;;14 - CCPulse;Framework 8.5 Routing & Reporting;109
Which section allow you to disable some features for user with user rank in CCPulse ?;1;[UserInterface];[Interface];[UserRank];[Workspace];;14 - CCPulse;Framework 8.5 Routing & Reporting;110
A view can focuses on;1;An Agent Group;A queue;Several Agent Groups;Several Queues;;14 - CCPulse;Framework 8.5 Routing & Reporting;111
The ability to someone to monitor an agent is given by :;1;A permission;A role;;;;14 - CCPulse;Framework 8.5 Routing & Reporting;112
"What can be the cause of ""Server not found"" in CCPulse ?";1;Bad connection with Config Server;Bad connection with Stat Server;;;;14 - CCPulse;Framework 8.5 Routing & Reporting;113
"What can be the cause to ""Connection cannot be etablished"" in CCPulse ?";2;We don't have the RX permission on the Stat Server;Bad connection with Stat Server;Bad connection with Config Server;Wrong login entrered;;14 - CCPulse;Framework 8.5 Routing & Reporting;114
Which option specify where folder containing default actions is ?;1;BinActionStoreFullPath;BinActionStore;ActionStoreFullPath;ActionStore;;14 - CCPulse;Framework 8.5 Routing & Reporting;115
Which option allow CCPulse to have one file per action, one file per template etc… ?;1;Legacy;Binary;Unique;Alone;;14 - CCPulse;Framework 8.5 Routing & Reporting;116
Why someone can't connect to CCpulse ?;1;He doesn't have the right permission;CCPulse is stopped;CCPulse cannot connect to Stat Server;CCPulse cannot connect to Config Server;;14 - CCPulse;Framework 8.5 Routing & Reporting;117
What are the steps to troubleshoot contact center objects that doesn't apprear in CCPulse;3;Check if CCPulse is well configured;Check if CCPulse is connected to Stat Server;Check if we have RX permissions on thoses objects;Check if CCPulse is connected to Config Server;;14 - CCPulse;Framework 8.5 Routing & Reporting;118
The Reporting Templates of CCPulse are stored in :;1;A directory;Config DB;Pulse DB;;;14 - CCPulse;Framework 8.5 Routing & Reporting;119
CCPulse is connected to :;2;Stat Server;Config Server;Pulse DB;Pulse Collector;;14 - CCPulse;Framework 8.5 Routing & Reporting;120
What should we look if we select a template where statistics are not calculated ?;1;StatProfil.cfg file;Connection with Stat Server;Connection with Config Server;CCPulse configuration;;14 - CCPulse;Framework 8.5 Routing & Reporting;121
Which rank allow to select a Stat Server in CCPulse+ ?;1;Administrator;Developer;User;Master;;14 - CCPulse;Framework 8.5 Routing & Reporting;122
Who can develop a template in CCPulse+ ?;2;Administrator;Developer;User;Master;;14 - CCPulse;Framework 8.5 Routing & Reporting;123
Which option allow you to disable some features for user with user rank in CCPulse ?;1;DisableUserCommands;DisableUserFeature;DisableCommands;DisableFeatures;;14 - CCPulse;Framework 8.5 Routing & Reporting;124
Which event indicates that a call entered in a VQ ?;1;EventQueued;EventArrived;EventRouteUsed;EventEtablished;;14 - CCPulse;Framework 8.5 Routing & Reporting;125
Which event indicates that a call left the VQ ?;1;EventDiverted;EventLeft;EventRouteUsed;EventRinging;;14 - CCPulse;Framework 8.5 Routing & Reporting;126
There is ranks on CCPulse+ ?;1;True;False;;;;14 - CCPulse;Framework 8.5 Routing & Reporting;127
In Binary Storage type all Tempaltes are in the same file;1;True;False;;;;14 - CCPulse;Framework 8.5 Routing & Reporting;128
During the installation of CCPulse+ we are asking the possibility to disable monitoring agent activity;1;True;False;;;;14 - CCPulse;Framework 8.5 Routing & Reporting;129
It is possible to hide a disabled command in CCPulse+ options;1;True;False;;;;14 - CCPulse;Framework 8.5 Routing & Reporting;130
An Administrator can disable some commands for user rank in CCPulse;1;True;False;;;;14 - CCPulse;Framework 8.5 Routing & Reporting;131
If there are too many agents monitored, disable CurrentStateEnable in CCPulse can be a good idea;1;True;False;;;;14 - CCPulse;Framework 8.5 Routing & Reporting;132
Why could someone has grey icons in CCPulse ?;1;He didn't has the right rank;Features aren't installed;No object is selected;He didn't has the right role;;14 - CCPulse;Framework 8.5 Routing & Reporting;133
Which option allow you to hide some features for user with user rank in CCPulse ?;1;HideDisabledCommands;HideDisabledFeatures;HideFeatures;HideCommands;;14 - CCPulse;Framework 8.5 Routing & Reporting;134
Where do we choose the Stat Server to use in CCPulse ?;1;During the creation of the workspace;In the Stat Server menu;In CCPulse+ applications options in GAX;In the view;;14 - CCPulse;Framework 8.5 Routing & Reporting;135
Virtual Queeus are used to;1;Make some statistics;Lower the network load;Virtual Queues are faster than Queues;;;14 - CCPulse;Framework 8.5 Routing & Reporting;136
Disable the Object State on CCPulse+ is usefull to :;1;Lower the load of notifications on CCPulse+;Make the Object List more legible;;;;14 - CCPulse;Framework 8.5 Routing & Reporting;137
Genesys recommands to store the Reporting Tempaltes :;1;On a network directory;On a local Directory;In the Config Server;In Pulse DB;;14 - CCPulse;Framework 8.5 Routing & Reporting;138
CCPulse+ request statistics from :;1;Stat Server;Pulse DB;Config DB;T-Server;;14 - CCPulse;Framework 8.5 Routing & Reporting;139
Where are stored dashboards, views, actions and thresholds  of CCPulse ?;1;File;Pulse DB;Config Server;;;14 - CCPulse;Framework 8.5 Routing & Reporting;140
Reporting Templates include :;3;Actions;Templates;Threashold;Scripts;;14 - CCPulse;Framework 8.5 Routing & Reporting;141
If some tools are disabled in the tools bar of CCPulse this is because;1;The person doesn't have the rank requiered;The person doesn't have the permission requiered;The person doesn't have the role requiered;;;14 - CCPulse;Framework 8.5 Routing & Reporting;142
"What does the error ""Unsupported or invalid stat"" means in CCPulse ?";1;The stat type does not exists in the Stat Profil.cfg;The Stat Server make an error on the stat calculation;CCPulse can't reach the Stat Server;Config Server give wrong information;;14 - CCPulse;Framework 8.5 Routing & Reporting;143
"What can be the cause to ""invalid path to storage"" in CCPulse ?";1;A path to the provided Stat Type is wrong;The Statprofil.cfg path is wrong;Path to the Config DB is wrong;;;14 - CCPulse;Framework 8.5 Routing & Reporting;144
Why CCPulse+ needs a connection with the Config Server ?;2;To retrieve its configuration;To get user privileges;To retrieve historic report data;To support historic views;;14 - CCPulse;Framework 8.5 Routing & Reporting;145
There is Roles in CCPulse+ ?;1;False;True;;;;14 - CCPulse;Framework 8.5 Routing & Reporting;146
In Legacy Storage type all tempaltes are in the same file;1;False;True;;;;14 - CCPulse;Framework 8.5 Routing & Reporting;147
Permissions allow to hide or show features in CCPulse ;1;False;True;;;;14 - CCPulse;Framework 8.5 Routing & Reporting;148
In CCPulse+, what parameters are mandatory to set up automatic updates from Stat Server ?;2;Notification Mode ;Notification Frequency ;Statistical Type ;Interval Type ;;14 - CCPulse;Framework 8.5 Routing & Reporting;149
In CCPulse+, what parameters are mandatory to set up automatic updates from Stat Server ?;2;Notification Frequency ;Insensitivity ;Statistical Type ;Interval Type ;;14 - CCPulse;Framework 8.5 Routing & Reporting;150
Which option indicates to the SCS if it is the main SCS ?;1;distributed_rights;distributed_mode;mode;rights;;15 - Multi-Host and Multi-Site;Framework 8.5 Routing & Reporting;151
Load Distribution require a license;1;True;False;;;;15 - Multi-Host and Multi-Site;Framework 8.5 Routing & Reporting;152
What is recommanded by Genesys ;1;Have one Message Server per site;Have a global Message Server ;;;;15 - Multi-Host and Multi-Site;Framework 8.5 Routing & Reporting;153
Which option give the right rights for the Config Server Proxy ?;1;Environment\default;login as system;;;;15 - Multi-Host and Multi-Site;Framework 8.5 Routing & Reporting;154
Which option indicates to the SCS that the distributed mode is enabled ?;1;distributed_mode;mode;distributed;distributed_rights;;15 - Multi-Host and Multi-Site;Framework 8.5 Routing & Reporting;155
Which option of the [MessageServer] section is used to indicate to the Message Server that it will be used for SCS;1;signature;role;scs_distributed;mode;;15 - Multi-Host and Multi-Site;Framework 8.5 Routing & Reporting;156
The Config Server Proxy start with a cfg file;1;False;True;;;;15 - Multi-Host and Multi-Site;Framework 8.5 Routing & Reporting;157
The ISCC is installed after the T-Server installation;1;False;True;;;;15 - Multi-Host and Multi-Site;Framework 8.5 Routing & Reporting;158
An ORS Cluster is composed of : ;1;ORS Nodes;1 ORS / 1 URS;Primary ORS / Backup ORS;;;16 - HA;Framework 8.5 Routing & Reporting;159
How is Cassandra started ?;2;With Cassandra.bat;As a serivce;In Gax;With Cassandra.exe;;16 - HA;Framework 8.5 Routing & Reporting;160
What can be in an ORS node ?;2;Primary ORS;Backup ORS;URS Backup;URS Primary;;16 - HA;Framework 8.5 Routing & Reporting;161
Which files have to be configured to customize Cassandra ?;2;logback.xml;cassandra.yaml;cassandra.conf;changes.xml;;16 - HA;Framework 8.5 Routing & Reporting;162
Which option of the ORS in scxml section has to be set to true to enable ORS working with Cassandra ?;1;persistance-default;cassandra-enable;cassandra-nodes;cassandra-listenport;;16 - HA;Framework 8.5 Routing & Reporting;163
Which tab allow to configure the ADDP;1;Connections;Dependencies;Options;General;;16 - HA;Framework 8.5 Routing & Reporting;164
Load balancing and high availability in an Orchestration deployment are addressed by providing multiple instances (servers) of Orchestration Servers (nodes) in a single logical entity called a Cluster;1;True;False;;;;16 - HA;Framework 8.5 Routing & Reporting;165
What is stored in the Cassandra DB ?;3;SCXML Sessions;SCXML session Data;SCXML session State;SCXML session configuration;;16 - HA;Framework 8.5 Routing & Reporting;166
How Many Nodes a cluster can contain ?;1;As many as we want;The same number of URS;;;;16 - HA;Framework 8.5 Routing & Reporting;167
All nodes within a cluster must be connected to :;3;The same T/SIP Server;The Same URS;The same Apache Cassandra;The same Configuration Server;;16 - HA;Framework 8.5 Routing & Reporting;168
When configuring the Hot Standby you have to specify the connection between the Primary component and the Backup component;1;False;True;;;;16 - HA;Framework 8.5 Routing & Reporting;169
In an ORS Cluster, all ORS nodes have the same number of interactions;1;False;True;;;;16 - HA;Framework 8.5 Routing & Reporting;170
