Question;nbreReponses;A;B;C;D;Theme;Formation
Which does not contains an expiration date ?;1;License Deamon;Sellable Item;Technical License;;Licenses;Framework 8.5 Routing & Reporting
Feature lines can be edited without invalidate the license file ?;1;False;True;;;Licenses;Framework 8.5 Routing & Reporting
Hostname and port name can be edited without invalidate the license file ?;1;True;False;;;Licenses;Framework 8.5 Routing & Reporting
The pathname on the License deamon line can be edited without invalidate the license file ?;1;True;False;;;Licenses;Framework 8.5 Routing & Reporting
A license is required if the Configuration Server is launched in proxy mode ?;1;True;False;;;Licenses;Framework 8.5 Routing & Reporting
A license is required for the Configuration Server in Master mode?;1;False;True;;;Licenses;Framework 8.5 Routing & Reporting
A license is required to start and stop T/SIP Server ?;1;True;False;;;Licenses;Framework 8.5 Routing & Reporting
The ISCC functionality requires a license ?;1;True;False;;;Licenses;Framework 8.5 Routing & Reporting
The technical license 'ha_redundancy' is for :;1;Warm Standby;Hot Sandby;;;Licenses;Framework 8.5 Routing & Reporting
The technical license 'cti_ha_option' is for :;1;Hot Sandby;Warm Standby;;;Licenses;Framework 8.5 Routing & Reporting
Which deamon start and stop vendor deamons ?;1;License Manager;Genesys Vendor;;;Licenses;Framework 8.5 Routing & Reporting
Which deamon records how many licenses are checked out as well as which application is using them ?;1;Genesys Vendor;Licence Manager;;;Licenses;Framework 8.5 Routing & Reporting
Who provides centralized processing of log events for Genesys server applications ?;1;Message Server;LCA;SCS;GDA;Management Layer;Framework 8.5 Routing & Reporting
Who Starts and stops local server applications ?;1;LCA;Message Server;SCS;GDA;Management Layer;Framework 8.5 Routing & Reporting
Who monitors solution status across the entire installation and processes alarm reactions ?;1;SCS;LCA;Message Server;GDA;Management Layer;Framework 8.5 Routing & Reporting
Which component triggers alarms ?;1;Message Server;GDA;SCS;LCA;Management Layer;Framework 8.5 Routing & Reporting
Who remotely deploys software onto local machines ?;1;GDA;SCS;LCA;Message Server;Management Layer;Framework 8.5 Routing & Reporting
SCS in Single Mode require a license.;1;False;True;;;Management Layer;Framework 8.5 Routing & Reporting
Distributed SCS functionlity require a license.;1;True;False;;;Management Layer;Framework 8.5 Routing & Reporting
What is the correct order for starting ?;1;LCA -> Message Server -> SCS;Message Server -> LCA -> SCS;SCS -> LCA -> Message Server;;Management Layer;Framework 8.5 Routing & Reporting
Which level of alarm detection is based on the specific event condition ?;1;Standard;Advanced;;;Management Layer;Framework 8.5 Routing & Reporting
Which level of alarm detection is based on a variable that reaches a threashold ?;1;Advanced;Standard;;;Management Layer;Framework 8.5 Routing & Reporting
Which component makes the real-time business decisions get right interaction to the right agent at the right time ?;1;Universal Routing;Interaction Management;Framework;Solution Reporting;Routing;Framework 8.5 Routing & Reporting
Which component is helping customers through email and chat sessions ?;1;Interaction Management;Universal Routing;Framework;Solution Reporting;Routing;Framework 8.5 Routing & Reporting
Which finds agent with the best combinaison of capabilities to assist customer ?;1;Skill-Based Routing;Universal Routing;Routing Server;Routing Point;Routing;Framework 8.5 Routing & Reporting
Genesys Composer is en Eclipse-based development environment that supports the development of routing application (SCXML);1;True;False;;;Routing;Framework 8.5 Routing & Reporting
Who is the routing engine that runs strategic targt-seeking algorithms for inbound interactions ?;1;Universal Routing Server;Orchestration Server;Univeral Routing Indicator;Routing Stat Server;Routing;Framework 8.5 Routing & Reporting
Who is responsible for executing SCXML based logic ?;1;Orchestration Server;Universal Routing Server;Univeral Routing Indicator;Routing Stat Server;Routing;Framework 8.5 Routing & Reporting
To which object are interactions routed ?;1;Target object;Skill object;Place object;Switch object;Routing;Framework 8.5 Routing & Reporting
A routing application is a set of instructions and decisions;1;True;False;;;Routing;Framework 8.5 Routing & Reporting
With who Stat Server must communicate with to register the DNs it whishes to receive messages about ?;1;T-Server;Configuration Server;GAX;Message Server;Routing;Framework 8.5 Routing & Reporting
A capacity snapshot indicates routability;1;True;False;;;Routing;Framework 8.5 Routing & Reporting
Who runs target-seeking algorithms for interaction ?;1;URS;ORS;Web application server;Composer;Routing;Framework 8.5 Routing & Reporting
Who notifies URS and ORS that a call has arrived and needs routing ?;1;T-Server;Stat Server;Composer;Web application server;Routing;Framework 8.5 Routing & Reporting
Who fetches and executes SCXML applications ?;1;ORS;URS;T-Server;Web application server;Routing;Framework 8.5 Routing & Reporting
Where all routing applications must be uploaded ?;1;Web application server;ORS;URS;Composer;Routing;Framework 8.5 Routing & Reporting
Who indicates that an interaction has been routed as requested ?;1;EventRouteUsed;RequestRouteCall;EventRouteRequest;Request successful;Routing;Framework 8.5 Routing & Reporting
Who is a set of instructions to T-Server/SIP Server with results of routing logic ?;1;RequestRouteCall;EventRouteUsed;EventRouteRequest;Request successful;Routing;Framework 8.5 Routing & Reporting
Who indicates that an interaction has been placed in a routing point and is waiting for routing instructions ?;1;EventRouteRequest;EventRouteUsed;RequestRouteCall;Request successful;Routing;Framework 8.5 Routing & Reporting
Who is seen when ORS successfully retrieves application from web application server ?;1;Request successful;EventRouteUsed;RequestRouteCall;EventRouteRequest;Routing;Framework 8.5 Routing & Reporting
URS and ORS can be connected to differents T-Servers;1;False;True;;;Routing;Framework 8.5 Routing & Reporting
SIP Server only require licenses if High Availability is configured;1;False;True;;;Services Layer;Framework 8.5 Routing & Reporting
Routing and reporting use the Services Layer for statistics ?;1;True;False;;;Statistics;Framework 8.5 Routing & Reporting
Who calculate statistics and maintains the current state on the contact center ressources;1;Stat Server;Configuration Server;T-Server;Message Server;Statistics;Framework 8.5 Routing & Reporting
Who requests statistics from Stat Server and display them as dynamic report ?;1;CCPulse+;Pulse;CC Analyser;Message Server;Statistics;Framework 8.5 Routing & Reporting
Stat Server tracks information about contact center ?;1;True;False;;;Statistics;Framework 8.5 Routing & Reporting
Who enables glance views of real-time contact center statistics within the GAX user interface ?;1;Pulse;CCPulse+;CC Analyser;Message Server;Statistics;Framework 8.5 Routing & Reporting
Which server tracks informations about the contact center ?;1;Stat Server;T-Server;Configuration Server;Orchestration Server;Statistics;Framework 8.5 Routing & Reporting
Who calculate statistics and maintains the current state on the contact center ressources ?;1;Stat Server;Pluse;CCPulse;Pulse Collector;Statistics;Framework 8.5 Routing & Reporting
Who requests statistics from Stat Server and displays them as dynamic reports ?;1;CCPulse;Pulse;T-Server;Pulse collector;Statistics;Framework 8.5 Routing & Reporting
CCPulse only supports real-time reporting;1;False;True;;;Statistics;Framework 8.5 Routing & Reporting
Who communicate with T-Server to register the DNs it wishes to receive messages about ?;1;Stat Server;Configuration Server;GAX;Message Server;Statistics;Framework 8.5 Routing & Reporting
If an agent is not being routed to, or if statistics are not being generated on that agent, you should check :;1;Stat Server log file;Workspace;System preferences;Configuration Server;Statistics;Framework 8.5 Routing & Reporting
Who tracks the real-time status of the contact center objets ?;1;Stat Server;SCS;Message Server;ORS;Statistics;Framework 8.5 Routing & Reporting
Who displays real-time statistics from Stat Server ?;1;CCPulse;Pulse;DMA;Pulse Collector;Statistics;Framework 8.5 Routing & Reporting
Which of the following contact center items can you configure un GAX ?;3;Persons;Skills;Agent groups;Agent computers;User Interaction Layer;Framework 8.5 Routing & Reporting
Permission controls access to the specific features in graphical interfaces ?;1;False;True;;;User Interaction Layer;Framework 8.5 Routing & Reporting
Roles controls access to the specific features in graphical interfaces ?;1;True;False;;;User Interaction Layer;Framework 8.5 Routing & Reporting
Master Account is created at the initialization of the config database ?;1;True;False;;;User Interaction Layer;Framework 8.5 Routing & Reporting
In which mode a super admin can modify configuration data ?;1;Emergency mode;read-only;;;User Interaction Layer;Framework 8.5 Routing & Reporting
One application template can be used to create as many different applications of that type as you wish;1;True;False;;;User Interaction Layer;Framework 8.5 Routing & Reporting
GAX stores its configuration in the gax DB;1;False;True;;;User Interaction Layer;Framework 8.5 Routing & Reporting
In Workspace Desktop Edition, in addition to the Agent Status menu, where can you change your status from Not Ready to Ready for inbound calls ?;1;My Channels;Contact Center Statistics;Main Menu;My Statistics;Workspace;Framework 8.5 Routing & Reporting
Which SCS modes require a license ?;2;Distributed;SNMP features;Single Mode;;Licenses;Framework 8.5 Routing & Reporting
If T-Server don't obtain a licence from Licence Manager it will start and retry later to get a license;1;False;True;;;Licenses;Framework 8.5 Routing & Reporting
Which items can be edited without invalidate the license file ?;3;Hostname;Port number;Pathname;Daemon name;Licenses;Framework 8.5 Routing & Reporting
Which of the following is a valid Genesys Topology ?;3;1 Configuration Server, 2 Proxy Configuration Servers, 1 switch, 1 T-Server, 3 StatServers, 1 URS;1 Configuration Server, 1 switch, 1 T-Server, 1 SIP server, 3 StatServers, 1 URS;1 Configuration Server, 1 switch, 1 T-Server, 1 StatServer, 5 URS;1 Configuration Server, 3 switches, 1 T-Server, 1 StatServer, 1 URS;Framework;Framework 8.5 Routing & Reporting
In the configuration file used by Configuration Server what is the name of the section where you define Configuration Server’s operational options ?;1;[confserv];[default];[configserv];[cfgservopt];Configuration Layer;Framework 8.5 Routing & Reporting
A Configuration Server Proxy is required when deploying every Framework 8.5 solution;1;False;True;;;Configuration Layer;Framework 8.5 Routing & Reporting
What is the term used for the unique identifier that T-Server allocates to each interaction ? ;1;Connection ID;Call ID;Object ID;Event ID;Media Layer;Framework 8.5 Routing & Reporting
Which of the following applications do NOT require an application configuration object in the Configuration Layer ?;2;LCA;Configuration DB Server;SCS;Log DB Server;Configuration Layer;Framework 8.5 Routing & Reporting
What is the name of the Configuration Layer application object section where you can configure logging ?;1;log;verbose;debug;info;Configuration Layer;Framework 8.5 Routing & Reporting
Which one of the following products does NOT need an entry in the license file ?;1;DB Server;Distributed Configuration Server;T-Server;URS;Licenses;Framework 8.5 Routing & Reporting
What is not a role of a Super node ?;1;Manage and Notifies all TServers for workload distribution;Maintains connections to all ORS;Handles Failover;Notifies members of nodes when a node fails ;Routing;Framework 8.5 Routing & Reporting
Which application is responsible for Fetching SCXML ?;1;ORS;URS;SIP Server;Web Application Server;Routing;Framework 8.5 Routing & Reporting
Services Layer provides an interface for Genesys components to which of the following ?;1;Database management systems;T-Servers;Tenants;Switches;Services Layer;Framework 8.5 Routing & Reporting
A DB Server can only have one DAP;1;False;True;;;Framework;Framework 8.5 Routing & Reporting
Which layer provides the ability to switch Backup to Primary application when an application crashes ?;1;Managment Layer;User Interaction Layer;Services Layer;Configuration Layer;Framework;Framework 8.5 Routing & Reporting
What is stored in the GAX Database ?;2;Ressources for GAX;Operationals Parameters;Objects;GAX configuration;User Interaction Layer;Framework 8.5 Routing & Reporting
In Warm Standby data are synchronized between the Primary T-Server and the Backup T-Server;1;False;True;;;Services Layer;Framework 8.5 Routing & Reporting
Which fonctionality applies to the User Interaction Layer ?;3;Configure, monitor and control applications and solutions;Deploy Genesys Installation Packages on any host;Role-Based Access Control;External Interfaces;User Interaction Layer;Framework 8.5 Routing & Reporting
GAX uses a DAP DBS to access to Gax DB;1;False;True;;;User Interaction Layer;Framework 8.5 Routing & Reporting
Where logs are written if Network Logging is enable ?;1;Log DB;Console windows;Log file;;Management Layer;Framework 8.5 Routing & Reporting
An application must have its logs configured on Network so that alarms can be detected;1;True;False;;;Management Layer;Framework 8.5 Routing & Reporting
Which fonctionality applies to the Media Layer ?;3;External Interfaces;Interaction Tracking;Attached Data Distribution;Access Control;Media Layer;Framework 8.5 Routing & Reporting
Which fonctionality applies to the Services Layer ?;1;Compilation of statistics and object status;Attached Data Distribution;Role-Based Access Control;External Interfaces;Services Layer;Framework 8.5 Routing & Reporting
The Stat Server registers with the T-Server only for the objects it wants to monitor;1;True;False;;;Services Layer;Framework 8.5 Routing & Reporting
The Capacity Snapshot indicates the routability of each agent;1;True;False;;;Services Layer;Framework 8.5 Routing & Reporting
Which fonctionality applies to the Stat Server as a client ?;3;Receives events from Media Servers;Uses these events to generate reports and statistics;Receive dynamic updates from Config Server ;Routing and reporting rely on the Stat Server;Services Layer;Framework 8.5 Routing & Reporting
Which fonctionality applies to the Stat Server as a Server ?;1;Routing and reporting rely on the Stat Server;Receives events from Media Servers;Uses these events to generate reports and statistics;Receive dynamic updates from Config Server ;Services Layer;Framework 8.5 Routing & Reporting
Operational Parameters can be edited quickly with GAX;1;True;False;;;Operational Parameters;Framework 8.5 Routing & Reporting
The receiving application does not need to be configured to receive / use the data;1;False;True;;;Operational Parameters;Framework 8.5 Routing & Reporting
Transactions Lists are part of the operational parameters;1;True;False;;;Operational Parameters;Framework 8.5 Routing & Reporting
What does the Pulse DB stores ?;2;Templates;Widgets;Statistics;Configuration;Operational Parameters;Framework 8.5 Routing & Reporting
